Schema Version,Record Type,Source Name,Source URL,Product Name,Description,Pricing,Category,Downloads,Likes,Tags,Collected At
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,sentence-similarity,254324263,5773,"sentence-transformers, pytorch, tf, rust, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, base_model:nreimers/MiniLM-L6-H384-uncased, base_model:quantized:nreimers/MiniLM-L6-H384-uncased, license:apache-2.0, eval-results, text-embeddings-inference, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-ranking,87478105,316,"sentence-transformers, pytorch, jax, onnx, safetensors, openvino, bert, text-classification, transformers, text-ranking, en, dataset:sentence-transformers/msmarco, base_model:cross-encoder/ms-marco-MiniLM-L12-v2, base_model:quantized:cross-encoder/ms-marco-MiniLM-L12-v2, license:apache-2.0, text-embeddings-inference, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/BAAI/bge-small-en-v1.5,BAAI/bge-small-en-v1.5,AI/ML model hosted on Hugging Face Hub,UNKNOWN,feature-extraction,64850135,551,"sentence-transformers, pytorch, onnx, safetensors, bert, feature-extraction, sentence-similarity, transformers, mteb, en, arxiv:2401.03462, arxiv:2312.15503, arxiv:2311.13534, arxiv:2310.07554, arxiv:2309.07597, license:mit, model-index, text-embeddings-inference, endpoints_compatible, deploy:sagemaker, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/google/electra-base-discriminator,google/electra-base-discriminator,AI/ML model hosted on Hugging Face Hub,UNKNOWN,AI_MODEL,59470060,159,"transformers, pytorch, tf, jax, rust, electra, pretraining, en, arxiv:1406.2661, license:apache-2.0, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/google-bert/bert-base-uncased,google-bert/bert-base-uncased,AI/ML model hosted on Hugging Face Hub,UNKNOWN,fill-mask,47826795,3179,"transformers, pytorch, tf, jax, rust, coreml, onnx, safetensors, bert, fill-mask, exbert, en, dataset:bookcorpus, dataset:wikipedia, arxiv:1810.04805, license:apache-2.0, endpoints_compatible, deploy:sagemaker, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,sentence-similarity,46445846,1370,"sentence-transformers, pytorch, tf, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, multilingual, ar, bg, ca, cs, da, de, el, en, es, et, fa, fi, fr, gl, gu, he, hi, hr, hu, hy, id, it, ja, ka, ko, ku, lt, lv, mk, mn, mr, ms, my, nb, nl, pl, pt, ro, ru, sk, sl, sq, sr, sv, th, tr, uk, ur, vi, arxiv:1908.10084, license:apache-2.0, text-embeddings-inference, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/BAAI/bge-m3,BAAI/bge-m3,AI/ML model hosted on Hugging Face Hub,UNKNOWN,sentence-similarity,37891167,3491,"sentence-transformers, pytorch, onnx, xlm-roberta, feature-extraction, sentence-similarity, arxiv:2402.03216, arxiv:2004.04906, arxiv:2106.14807, arxiv:2107.05720, arxiv:2004.12832, license:mit, eval-results, text-embeddings-inference, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/google-t5/t5-small,google-t5/t5-small,AI/ML model hosted on Hugging Face Hub,UNKNOWN,translation,24115004,601,"transformers, pytorch, tf, jax, rust, onnx, safetensors, t5, text2text-generation, summarization, translation, en, fr, ro, de, multilingual, dataset:c4, arxiv:1805.12471, arxiv:1708.00055, arxiv:1704.05426, arxiv:1606.05250, arxiv:1808.09121, arxiv:1810.12885, arxiv:1905.10044, arxiv:1910.09700, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,sentence-similarity,24033268,1352,"sentence-transformers, pytorch, onnx, safetensors, openvino, mpnet, fill-mask, feature-extraction, sentence-similarity, transformers, text-embeddings-inference, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, license:apache-2.0, eval-results, endpoints_compatible, region:us, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/amazon/chronos-2,amazon/chronos-2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,time-series-forecasting,23137164,442,"chronos-forecasting, safetensors, t5, time series, forecasting, foundation models, pretrained models, time-series-forecasting, dataset:autogluon/chronos_datasets, dataset:Salesforce/GiftEvalPretrain, arxiv:2403.07815, arxiv:2510.15821, license:apache-2.0, region:us, deploy:sagemaker",2026-09-11T04:52:02.520644+00:00
